title;url;price
Microsoft Surface Pro 8 - i7/16/512 (Graphite);https://www.coolblue.nl/en/product/897659/microsoft-surface-pro-8-i7-16-512-graphite.html;"<strong class=""sales-price__current js-sales-price-current"">1.699,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (10-core CPU/16-core GPU) 32GB/2TB Space Gray;https://www.coolblue.nl/en/product/894404/apple-macbook-pro-14-inches-2021-m1-pro-10-core-cpu-16-core-gpu-32gb-2tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">3.399,-</strong>"
Apple MacBook Air (2020) 16GB/512GB Apple M1 with 8-core GPU Silver;https://www.coolblue.nl/en/product/878572/apple-macbook-air-2020-16gb-512gb-apple-m1-with-8-core-gpu-silver.html;"<strong class=""sales-price__current js-sales-price-current"">1.569,-</strong>"
Lenovo IdeaPad Flex 5 14ITL05 82HS00K5MH;https://www.coolblue.nl/en/product/878316/lenovo-ideapad-flex-5-14itl05-82hs00k5mh.html;"<strong class=""sales-price__current js-sales-price-current"">1.049,-</strong>"
Lenovo Legion 5 Pro 16ITH6H 82JD00AQMH;https://www.coolblue.nl/en/product/900578/lenovo-legion-5-pro-16ith6h-82jd00aqmh.html;"<strong class=""sales-price__current js-sales-price-current"">2.099,-</strong>"
HP EliteBook 840 G8 - 35T73EA;https://www.coolblue.nl/en/product/889659/hp-elitebook-840-g8-35t73ea.html;"<strong class=""sales-price__current js-sales-price-current"">1.769,-</strong>"
HP Pavilion G 15-dk2990nd;https://www.coolblue.nl/en/product/879742/hp-pavilion-g-15-dk2990nd.html;"<strong class=""sales-price__current js-sales-price-current"">1.099,-</strong>"
Lenovo Legion 5 Pro 16ACH6H 82JQ00QPMH;https://www.coolblue.nl/en/product/898108/lenovo-legion-5-pro-16ach6h-82jq00qpmh.html;"<strong class=""sales-price__current js-sales-price-current"">1.949,-</strong>"
Apple MacBook Air (2020) MGN63N/A Space Gray;https://www.coolblue.nl/en/product/873113/apple-macbook-air-2020-mgn63n-a-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
HP Pavilion G 15-ec2905nd;https://www.coolblue.nl/en/product/879737/hp-pavilion-g-15-ec2905nd.html;"<strong class=""sales-price__current js-sales-price-current"">849,-</strong>"
HP EliteBook 850 G8 - 2Y2S3EA;https://www.coolblue.nl/en/product/889654/hp-elitebook-850-g8-2y2s3ea.html;"<strong class=""sales-price__current js-sales-price-current"">1.849,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Max (10-core CPU/24-core GPU) 64GB/2TB Space Gray;https://www.coolblue.nl/en/product/894449/apple-macbook-pro-16-inches-2021-m1-max-10-core-cpu-24-core-gpu-64gb-2tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">4.499,-</strong>"
Asus Vivobook 15 OLED K513EA-L11387W;https://www.coolblue.nl/en/product/898538/asus-vivobook-15-oled-k513ea-l11387w.html;"<strong class=""sales-price__current js-sales-price-current"">1.099,-</strong>"
